11,25000,(68.000000 80.000000)(33.000000 89.000000)(62.000000 62.000000),79441.33961,39.720670,342.000000,20
12,0,(57.000000 34.000000)(54.000000 39.000000)(50.000000 40.000000)(53.000000 28.000000),24738.633754,12.369317,41.500000,5
13,12100,(89.000000 30.000000)(73.000000 25.000000)(87.000000 8.000000),47691.153838,23.845577,171.000000,12
14,9700,(31.000000 86.000000)(16.000000 87.000000)(18.000000 78.000000)(26.000000 77.000000),31814.126064,15.907063,105.000000,8
15,36800,(21.000000 92.000000)(13.000000 26.000000)(43.000000 54.000000),132966.161108,66.483081,878.000000,33
16,10300,(71.000000 38.000000)(73.000000 19.000000)(85.000000 44.000000),55461.698496,27.730849,139.000000,12
17,10000,(91.000000 40.000000)(78.000000 33.000000)(73.000000 7.000000),75179.784516,37.589892,151.500000,15
18,40600,(29.000000 98.000000)(67.000000 58.000000)(86.000000 90.000000),119619.224936,59.809612,988.000000,29
19,58400,(99.000000 53.000000)(72.000000 80.000000)(52.000000 61.000000)(61.000000 36.000000)(84.000000 34.000000),97095.416988,48.547708,1311.500000,30
20,18800,(40.000000 70.000000)(52.000000 77.000000)(35.000000 92.000000)(29.000000 82.000000),47869.902590,23.934951,240.500000,12
21,22400,(74.000000 19.000000)(72.000000 24.000000)(66.000000 29.000000)(50.000000 19.000000)(55.000000 8.000000)(68.000000 8.000000),48232.220636,24.116110,333.500000,14
22,82400,(55.000000 94.000000)(10.000000 76.000000)(22.000000 35.000000)(71.000000 48.000000),135588.841834,67.794421,2261.500000,42
23,49500,(27.000000 43.000000)(27.000000 22.000000)(46.000000 12.000000)(57.000000 17.000000)(63.000000 27.000000)(58.000000 46.000000),80214.981657,40.107491,947.500000,24
24,0,(76.000000 50.000000)(76.000000 45.000000)(77.000000 43.000000)(83.000000 47.000000)(78.000000 51.000000),16921.061257,8.460531,32.000000,7
25,19900,(68.000000 60.000000)(43.000000 57.000000)(40.000000 22.000000),94403.389770,47.201695,433.000000,23
26,19900,(19.000000 41.000000)(17.000000 63.000000)(5.000000 64.000000)(7.000000 37.000000),56408.035246,28.204018,297.000000,16
27,34400,(29.000000 64.000000)(58.000000 36.000000)(74.000000 68.000000),94703.216930,47.351608,688.000000,24
28,9400,(37.000000 22.000000)(28.000000 9.000000)(50.000000 17.000000),46818.799643,23.409400,107.000000,12
29,50100,(8.000000 90.000000)(33.000000 57.000000)(54.000000 59.000000)(72.000000 87.000000),128170.626755,64.085313,1294.500000,35
30,83400,(92.000000 41.000000)(62.000000 74.000000)(34.000000 61.000000)(32.000000 27.000000)(67.000000 11.000000)(77.000000 15.000000),128274.511141,64.137256,2488.000000,40
31,16200,(73.000000 47.000000)(89.000000 42.000000)(93.000000 71.000000),63350.947359,31.675474,242.000000,16
32,37500,(81.000000 21.000000)(65.000000 44.000000)(50.000000 37.000000)(46.000000 27.000000)(68.000000 9.000000),71553.817748,35.776909,664.500000,20
33,4000,(7.000000 79.000000)(24.000000 87.000000)(26.000000 94.000000)(6.000000 80.000000),48826.222463,24.413111,68.500000,11
34,28500,(91.000000 75.000000)(75.000000 76.000000)(66.000000 61.000000)(73.000000 48.000000)(89.000000 48.000000),64899.922958,32.449961,552.000000,18
35,10900,(17.000000 25.000000)(14.000000 23.000000)(9.000000 18.000000)(8.000000 16.000000)(40.000000 17.000000)(36.000000 21.000000),64031.242374,32.015621,176.500000,14
36,38400,(86.000000 23.000000)(95.000000 82.000000)(89.000000 82.000000)(71.000000 72.000000)(65.000000 63.000000)(64.000000 59.000000),119364.986491,59.682493,969.500000,29
37,10600,(76.000000 65.000000)(80.000000 69.000000)(79.000000 75.000000)(75.000000 77.000000)(69.000000 67.000000),25612.496950,12.806248,78.000000,9
38,57500,(51.000000 36.000000)(32.000000 48.000000)(8.000000 32.000000)(12.000000 8.000000)(50.000000 11.000000),96499.740932,48.249870,1293.500000,31
39,18500,(46.000000 66.000000)(70.000000 65.000000)(39.000000 94.000000),84899.941107,42.449971,332.500000,18
40,25200,(53.000000 6.000000)(36.000000 33.000000)(11.000000 16.000000),86401.822372,43.200911,482.000000,21
41,48100,(56.000000 82.000000)(28.000000 93.000000)(17.000000 78.000000)(27.000000 58.000000)(45.000000 57.000000)(46.000000 57.000000),80847.823805,40.423912,923.500000,27
42,27100,(67.000000 94.000000)(44.000000 74.000000)(60.000000 64.000000)(75.000000 78.000000),64554.452353,32.277226,451.000000,21
43,29500,(17.000000 52.000000)(35.000000 64.000000)(28.000000 78.000000)(14.000000 78.000000)(9.000000 74.000000)(7.000000 67.000000),57346.769681,28.673385,471.000000,17
44,18800,(29.000000 38.000000)(13.000000 38.000000)(7.000000 25.000000)(34.000000 21.000000),56313.850674,28.156925,323.500000,17
45,45200,(34.000000 64.000000)(68.000000 62.000000)(80.000000 87.000000)(26.000000 95.000000)(27.000000 73.000000),111836.583280,55.918292,1314.500000,33
46,9100,(36.000000 41.000000)(48.000000 32.000000)(52.000000 38.000000)(41.000000 46.000000),32607.845757,16.303923,101.500000,8
47,36300,(98.000000 17.000000)(97.000000 43.000000)(77.000000 51.000000)(59.000000 37.000000),88273.934819,44.136967,709.000000,26
48,67000,(8.000000 39.000000)(19.000000 15.000000)(45.000000 12.000000)(58.000000 25.000000)(60.000000 40.000000)(40.000000 61.000000),105053.788436,52.526894,1656.500000,32
49,66500,(32.000000 96.000000)(17.000000 72.000000)(41.000000 43.000000)(70.000000 59.000000)(73.000000 72.000000)(68.000000 87.000000),112734.267288,56.367134,1896.000000,33
50,25700,(7.000000 19.000000)(7.000000 13.000000)(32.000000 8.000000)(33.000000 25.000000)(25.000000 30.000000)(16.000000 30.000000),57826.132041,28.913066,431.500000,17
51,13400,(31.000000 74.000000)(15.000000 92.000000)(11.000000 82.000000)(16.000000 73.000000),48171.088963,24.085544,186.000000,12
52,3500,(7.000000 85.000000)(8.000000 84.000000)(15.000000 80.000000)(26.000000 87.000000),38209.946349,19.104973,57.000000,11
53,6200,(32.000000 89.000000)(31.000000 93.000000)(24.000000 91.000000)(28.000000 86.000000),16512.217480,8.256109,31.000000,8
54,15700,(69.000000 24.000000)(52.000000 10.000000)(87.000000 12.000000)(76.000000 23.000000),70114.192572,35.057096,261.000000,16
55,16000,(97.000000 20.000000)(89.000000 38.000000)(77.000000 9.000000),62769.419306,31.384710,224.000000,14
56,16300,(26.000000 35.000000)(7.000000 52.000000)(14.000000 20.000000),65513.357417,32.756679,244.500000,15
57,52900,(59.000000 19.000000)(82.000000 43.000000)(59.000000 67.000000)(53.000000 66.000000)(34.000000 38.000000),96958.580619,48.479290,1226.500000,28
58,6200,(6.000000 30.000000)(40.000000 13.000000)(38.000000 17.000000)(16.000000 32.000000)(10.000000 31.000000),76026.311235,38.013156,149.000000,16
59,3000,(37.000000 66.000000)(32.000000 70.000000)(31.000000 55.000000),30066.592757,15.033296,39.500000,7
60,65300,(78.000000 39.000000)(61.000000 66.000000)(32.000000 58.000000)(30.000000 28.000000)(51.000000 15.000000)(52.000000 15.000000),105073.935701,52.536968,1608.000000,35
